Product List as of 17/06/2026,,,,,,,,,,
Product Code,Supplier Name,Product Description,Created On,Default Sell Price,Bin Location,Allocated,On Hand,Available,Base Unit,On Purchase
9KLDP101W45CM,Divya,9k WG 0.8mm Oval Link Chain with 1 Pear Lab Diamond=4.02ct IGI Certified. Chain 45cm with O-Ring at 42cm,17/04/2026,"1,531.17",LDP101,0.0000,1.0000,1,Each,0
9KLDBT800W18CM,Divya,9k WG 3.7mm Wide Lab Diamond Tennis Bracelet 42D=8ct. 18cm with Double Figure-8 Clasp,17/04/2026,"3,463.99",LDBT800,0.0000,1.0000,1,Each,0
9KLDBT55018CM,Divya,9k YG 3mm Wide Lab Diamond Tennis Bracelet 55D Approx 5.8ct. 18cm with Double Figure-8 Clasp,17/04/2026,"2,483.73",LDBT550,0.0000,2.0000,2,Each,0
9KLDS400,Divya,9k YG Lab Diamond Brilliant Studs 2D=Approx. 4ct IGI Certified,17/04/2026,"1,463.13",LDS400,0.0000,2.0000,2,Each,0
9KLDR103SIZEP,Divya,9k YG Lab Diamond Brilliant Trilogy Ring 3D=2.02ct. Size P,17/04/2026,868.39,LDR103,0.0000,0.0000,0,Each,0
9KLDR103SIZEM,Divya,9k YG Lab Diamond Brilliant Trilogy Ring 3D=2.02ct. Size M,17/04/2026,868.39,LDR103,0.0000,0.0000,0,Each,0
9KLDS180W,Divya,9k WG Bezel Set Lab Diamond Drop Studs 6D=1.87ct,17/04/2026,647.60,LDS180,0.0000,2.0000,2,Each,0
9KLDR100SIZEP,Divya,9k YG Solitaire Engagement Ring Cathedral Set with 1 Lab Diamond=3ct IGI Certified. Size P,17/04/2026,"1,240.87",LDR100,0.0000,1.0000,1,Each,0
9KLDR100SIZEM,Divya,9k YG Solitare Engagement Ring Cathedral Set with 1 Lab Diamond=3ct IGI Certified. Size M,17/04/2026,"1,240.87",LDR100,0.0000,0.0000,0,Each,3
9KLDS182,Divya,9k YG Lab Diamond Horseshoe Stud 20D=0.60ct. Meas 10x9mm,17/04/2026,520.00,LDS182,0.0000,0.0000,0,Each,0
9KLDS181,Divya,9k YG Lab Diamond Horseshoe Stud 20D=0.30ct. Meas 8x7mm,17/04/2026,266.63,LDS181,0.0000,2.0000,2,Each,0
9KCR806-1,Inah Co Ltd - 9k CZ Huggies,9k YG Solid Patterned centre Crucifixion Pendant 42mm x 30mm,02/04/2026,766.67,CR806-1,0.0000,3.0000,3,Each,0
9KLDR366SIZES,Divya,9k YG Lab Diamond Dress Ring. Bezel Set with 1D=1.0ct.  Size S,02/04/2026,853.18,LDR366,0.0000,1.0000,1,Each,0
9KZR109-1SIZEZ1/2,Divya,9k YG 12 x 10mm Cushion Black Onyx Gents Rings Size Z1/2,02/04/2026,"1,361.96",ZR109-1,0.0000,0.0000,0,Each,0
9KCPYMILANA,Prime & Pure,9k YG Name Chain (BOX038)- Milana,31/03/2026,"1,320.00",,0.0000,0.0000,0,Each,0
9KC240,Inah Co Ltd - 9k CZ Huggies,9k YG Polished Puff Heart 22mm,30/03/2026,900.00,C240,0.0000,0.0000,0,Each,0
9KBFOH5W-57X49MM,Divya,9K WG Diamond Oval Hinged Bangle 5mm Wide. 57x49mm internal diameter. 5D = 0.30ct G/SI,20/03/2026,"3,010.71",BFOH5,0.0000,0.0000,0,Each,0
9KDP458,Divya,"9k YG Heart Diamond Pendant 20mm x 17mm, set with 60D=1.80ct G SI",15/03/2026,"1,817.62",DP458,0.0000,2.0000,2,Each,0
9KDS318,Divya,New_9K YG with approx. 10 Lab Dia=0.30ct 7x6.6mm,25/02/2026,0.00,,0.0000,0.0000,0,Each,0
18KOT080,Forval,Running length no findings approx 38CM18k YG Italian Solid 2 x 5 Birdseye/Tiger Eye Bracelet 3.2mm wide. 10.37g,25/02/2026,221.00,,0.0000,10.3700,10.37,Weight,0
18KC106,Unknown,18k YG Hollow Heart Pendant 11mm.,20/02/2026,278.95,C106,0.0000,10.0000,10,Each,0
14KRB01745CM,Lotus,"14k YG 3.85mm Faceted Balls Paperclip Rosary Bracelet 1.65mm wide . 16mm engraved disk, 45CM. 5.5cm drop with enclosed Allah pendant 15x13mm",17/02/2026,"1,516.67",RB017,0.0000,1.0000,1,Each,0
14KRB01645CM,Lotus,"14k YG 3.85mm Faceted Balls Paperclip Rosary Bracelet 1.65mm wide . 16mm engraved disk, 45CM. 5.5cm drop with Allah pendant 15x17mm",17/02/2026,"1,556.67",RB016,0.0000,1.0000,1,Each,0
9KGDY03045CMJ,Lotus,9k YG Solid Curb Chain 1mm wide 45cm. O-Ring at 40cm. Approx 1.47g,16/02/2026,119.89,GDY030,0.0000,145.8000,145.8,Weight,0
18KOT08021CM,Forval,18k YG Italian Solid 2 x 5 Birdseye/Tiger Eye Bracelet 3.2mm wide 21cm . Approx 6.3g,13/02/2026,221.00,,0.0000,0.0000,0,Weight,0
9KFPC13,Lotus,"9k WG Lobster Parrot Clasp length 0.9cm, width 0.45cm with jump rings and flat plates. Approx 0.81g",05/02/2026,122.11,FPC13,0.0000,4.0500,4.05,Weight,0
9KER584PEARL,Inah Co Ltd - 9k CZ Huggies,Pearl to suit ER584 Huggies,30/01/2026,22.22,,0.0000,6.0000,6,Each,0
9KRB01543CM,Lotus,"9K YG Rosary Chain without beads. 16mm engraved disk, 43CM. 6cm drop with enclosed Allah pendant 15x13mm",28/01/2026,477.78,RB15,0.0000,1.0000,1,Each,0
9KRB01445CM,Lotus,"9K YG Rosary Chain without beads. 16mm engraved disk, 45CM. 6cm drop with Allah pendant 15x17mm",28/01/2026,500.00,RB14,1.0000,1.0000,0,Each,0
9KGZPW23023CM,Forval,9k WG Italian Solid Flat Curb Bracelet 5.8mm wide 23cm . Approx____g,21/01/2026,118.78,GZP230,0.0000,0.0000,0,Weight,0
9KCPY1AUDREY,Prime & Pure,9k Yellow Gold Audrey Name Pendant 10mm on Diamond Cut Trace (9KTFY02942CM),20/01/2026,834.84,,0.0000,0.0000,0,Each,0
9KPCW02045CM,Lotus,9k WG Paperclip Chain 1.1 x 2.4mm wide. 45cm. Approx 1.1g,19/01/2026,118.78,,1.1000,0.0000,-1.1,Weight,0
9KDBT60025CM,D.N. Jewels,"9k YG Diamond Tennis Anklet, Bezel Set with 59D=6.45ct. 25cm",16/01/2026,"9,266.67",DBT600,0.0000,0.0000,0,Each,0
9KDH120,D.N. Jewels,"9k YG Paperclip Diamond Drop Huggies 204D Approx 0.79ct, 27x11.25mm",12/01/2026,"1,700.42",DH120,0.0000,7.0000,7,Each,0
18KZR293SIZEI,D.N. Jewels,18k WG Channel Set Diamond Wedding Band Ring with  8 Princess Cut Diamonds =0.41ct. Size I,12/01/2026,"1,679.25",ZR293,0.0000,0.0000,0,Each,0
