*Product Code,*Product Description,Notes,Barcode,Unit of Measure,Min Stock Alert Level,Max Stock Alert Level,Label Template,SO Label Template,PO Label Template,SO Label Quantity,PO Label Quantity,Supplier Code,Supplier Name,Supplier Product Code,Default Purchase Price,Minimum Order Quantity,Minimum Sale Quantity,Default Sell Price,Minimum Sell Price,Sell Price Tier 1,Sell Price Tier 2,Sell Price Tier 3,Sell Price Tier 4,Sell Price Tier 5,Sell Price Tier 6,Sell Price Tier 7,Sell Price Tier 8,Sell Price Tier 9,Sell Price Tier 10,Pack Size,Weight,Width,Height,Depth,Reminder,Last Cost,Nominal Cost,Comments,Copy Comments for Sales,Copy Comments for Purchases,Never Diminishing,Product Group,Product Sub Group,Product Brand,Sales Account,COGS Account,Purchase Account,Purchase Tax Type,Purchase Tax Rate,Sales Tax Type,Sale Tax Rate,IsAssembledProduct,IsComponent,IsObsoleted,Is Sellable,Is Purchasable,Default Purchasing Unit of Measure,Is Batch Tracked
MP397MX,925 Fancy Juvite Pnd set with Rhodolite Amethyst & Peridot. RRP$272.65,,MP397MX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP397,,,,148.8700,125.0500,416.8300,,148.8700,141.4300,133.9800,,,,,148.8700,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP399MX,925 Fancy Juvite Pnd set with Topaz Peridot Amethyst Garnet & Citrine. RRP$350.00,,MP399MX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P399,,,,188.6700,158.4900,528.2900,,188.6700,179.2400,169.8100,,,,,188.6700,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP416AM,925 Fancy Juvite Pnd set with Amethyst = 0.90ct Sapphires = 1.0ct. RRP$343.00,,MP416AM,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP416,,,,218.6100,183.6300,612.1100,,218.6100,207.6800,196.7500,,,,,218.6100,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP416GAOX,925 Fancy Juvite Pnd Oxidized set with Garnet = 1.00ct. RRP$343.00,,MP416GAOX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP416,,,,186.3800,156.5600,521.8500,,186.3800,177.0600,167.7400,,,,,186.3800,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP416PE,925 Fancy Juvite Pnd set with Peridot = 0.90ct Sapphires = 1.0ct. RRP$343.00,,MP416PE,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP416,,,,218.6100,183.6300,612.1100,,218.6100,207.6800,196.7500,,,,,218.6100,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP416PEOX,925 Fancy Juvite Pnd set with Peridot = 0.90ct & Sapphires = 1.0ct. RRP$343.00,,MP416PEOX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP416,,,,232.0000,194.8800,649.5900,,232.0000,220.4000,208.8000,,,,,232.0000,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP416SA,925 Fancy Juvite Pnd set with Dark Blue Sapphires. RRP$372.00,,MP416SA,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P416,,,,201.5100,169.2600,564.2200,,201.5100,191.4300,181.3500,,,,,201.5100,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP430TO,925 Fancy Juvite Pnd set with Topaz = 2.40ct & Sapphires = 0.42ct. RRP$395.00,,MP430TO,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP430,,,,214.2100,179.9400,599.7900,,214.2100,203.5000,192.7900,,,,,214.2100,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP434AM,925 Fancy Juvite Pnd set with Amethyst = 1.30ct. RRP$305.00,,MP434AM,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,MP434,,,,186.0200,156.2600,520.8500,,186.0200,176.7200,167.4200,,,,,186.0200,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
MP467MX,925 Fancy Juvite Pnd set with Peridot Garnet Citrine Topaz & Amethyst. RRP$438.00,,MP467MX,Each,,,,,,Order Quantity,Order Quantity,JUVITECO,JUVITECO,P467,,,,278.1300,233.6300,778.7800,,278.1300,264.2300,250.3200,,,,,278.1300,,,,1.000,,"DISCONTINUED ""DO NOT ORDER""",0.0000,,,False,False,No,Misc,,,,,,,,,,No,No,Yes,No,No,Each,No
